,primaryTitle,HoursViewed,Runtime,Views,startYear,genres
33,PAW Patrol: The Mighty Movie,50700000,1:28,34600000,2023,"Action,Adventure,Animation"
34,Kraven the Hunter,73000000,2:07,34500000,2024,"Action,Adventure,Thriller"
35,Demon City,60500000,1:48,33600000,2025,"Action,Adventure,Crime"
36,The Emoji Movie,48700000,1:27,33600000,2017,"Adventure,Animation,Comedy"
38,Bullet Train Explosion,76300000,2:17,33400000,2025,"Action,Crime,Drama"
37,Bee Movie,51200000,1:32,33400000,2007,"Adventure,Animation,Comedy"
39,A Deadly American Marriage,55500000,1:43,32300000,2025,"Crime,Documentary"
40,Last Bullet,59000000,1:53,31300000,2025,"Action,Crime,Drama"
41,Mission: Impossible - Dead Reckoning Part One,85000000,2:44,31100000,2023,"Action,Adventure,Thriller"
42,Rebel Ridge,68500000,2:12,31100000,2024,"Action,Crime,Drama"
43,The Equalizer 2,59800000,2:01,29700000,2018,"Action,Crime,Mystery"
44,Squad 36,61100000,2:05,29300000,2025,"Crime,Drama,Thriller"
46,The Six Triple Eight,62300000,2:10,28800000,2024,"Drama,History,War"
45,Lucca's World,46600000,1:37,28800000,2025,Drama
47,Hotel Transylvania 2,42700000,1:30,28500000,2015,"Adventure,Animation,Comedy"
48,The Union,51600000,1:49,28400000,2024,"Action,Comedy,Thriller"
49,Puss in Boots: The Last Wish,47600000,1:42,28000000,2022,"Action,Adventure,Animation"
50,Uncharted,53300000,1:56,27600000,2022,"Action,Adventure"
51,Hotel Transylvania 3: Summer Vacation,44200000,1:37,27300000,2018,"Adventure,Animation,Comedy"
52,The Twister: Caught in the Storm,40500000,1:29,27300000,2025,Documentary
53,Sing: Thriller,5400000,0:12,27000000,2024,"Animation,Comedy,Family"
54,We Can Be Heroes,45200000,1:41,26900000,2020,"Action,Animation,Comedy"
55,Sonic the Hedgehog,44500000,1:41,26400000,2020,"Action,Adventure,Comedy"
1,The Grinch,37100000,1:26,25900000,2018,"Animation,Comedy,Family"
58,Trolls Band Together,38600000,1:32,25200000,2023,"Adventure,Animation,Comedy"
2,Den of Thieves: Pantera,59900000,2:24,25000000,2025,"Action,Crime,Drama"
61,Nr. 24,45100000,1:52,24200000,2024,"Biography,Drama,War"
60,Inside Man: Most Wanted,42800000,1:46,24200000,2019,"Action,Crime,Thriller"
62,Red Notice,46600000,1:58,23700000,2021,"Action,Comedy,Thriller"
63,Shrek the Third,36600000,1:35,23100000,2007,"Adventure,Animation,Comedy"
64,Fear Street: Prom Queen,34400000,1:30,22900000,2025,"Horror,Mystery,Thriller"
65,Jewel Thief: The Heist Begins,44600000,1:58,22700000,2025,"Action,Adventure,Thriller"
66,Trainwreck: Poop Cruise,20800000,0:55,22700000,2025,Documentary
67,Ma,37100000,1:39,22500000,2019,"Horror,Mystery,Thriller"
68,Leo,39700000,1:47,22300000,2023,"Adventure,Animation,Comedy"
69,Delicious,37700000,1:42,22200000,2025,"Drama,Thriller"
70,Trolls,34200000,1:33,22100000,2016,"Adventure,Animation,Comedy"
71,The Heart Knows,32600000,1:29,22000000,2025,"Comedy,Drama,Romance"
72,Plane,39100000,1:47,21900000,2023,"Action,Adventure,Thriller"
73,The SpongeBob Movie: Sponge Out of Water,34900000,1:36,21800000,2015,"Adventure,Animation,Comedy"
74,Hotel Transylvania,32700000,1:32,21300000,2012,"Animation,Comedy,Family"
75,Sonic the Hedgehog 2,43400000,2:04,21000000,2022,"Action,Adventure,Comedy"
3,Bogota: City of the Lost,37200000,1:47,20900000,2024,"Crime,Drama,Thriller"
4,Bogota: City of the Lost,37200000,1:47,20900000,2024,"Crime,Drama,Thriller"
77,Fast X,48500000,2:21,20600000,2023,"Action,Adventure,Crime"
78,The Equalizer 3,37400000,1:49,20600000,2023,"Action,Crime,Thriller"
79,Damsel,37400000,1:50,20400000,2024,"Action,Adventure,Fantasy"
80,Back to the Outback,32300000,1:36,20200000,2021,"Adventure,Animation,Comedy"
81,Minions: The Rise of Gru,29500000,1:28,20100000,2022,"Adventure,Animation,Comedy"
82,Bad Boys: Ride or Die,37900000,1:56,19600000,2024,"Action,Adventure,Comedy"
83,Norbit,33600000,1:43,19600000,2007,"Comedy,Romance"
84,Woody Woodpecker Goes to Camp,32600000,1:40,19600000,2024,"Adventure,Animation,Comedy"
85,Under Paris,33500000,1:44,19300000,2024,"Action,Drama,Horror"
86,Dungeons & Dragons: Honor Among Thieves,42900000,2:14,19200000,2023,"Action,Adventure,Comedy"
87,Twilight,38900000,2:02,19100000,2008,"Drama,Fantasy,Romance"
88,White Chicks,34400000,1:49,18900000,2004,"Comedy,Crime"
89,Saving Bikini Bottom: The Sandy Cheeks Movie,27300000,1:27,18800000,2024,"Adventure,Animation,Comedy"
90,Grown Ups 2,31100000,1:41,18500000,2013,Comedy
93,It Ends with Us,40200000,2:11,18400000,2024,"Drama,Romance"
94,Trigger Warning,32900000,1:47,18400000,2024,"Action,Crime,Thriller"
92,Alpha,29700000,1:37,18400000,2018,"Adventure,Drama"
91,Aftermath,29200000,1:35,18400000,2024,"Action,Thriller"
95,Dhoom Dhaam,33100000,1:49,18200000,2025,"Action,Comedy,Romance"
96,Revelations,36600000,2:02,18000000,2025,"Crime,Drama,Mystery"
98,Life or Something Like It,31000000,1:44,17900000,2002,"Comedy,Romance"
5,The Cat in the Hat,24400000,1:22,17900000,2003,"Adventure,Comedy,Family"
99,Madagascar: Escape 2 Africa,26800000,1:31,17700000,2008,"Adventure,Animation,Comedy"
100,Migration,24300000,1:23,17600000,2023,"Adventure,Animation,Comedy"
103,Where the Crawdads Sing,36400000,2:05,17500000,2022,"Drama,Mystery,Romance"
101,Spellbound,32000000,1:50,17500000,2024,"Adventure,Animation,Comedy"
102,Trap,30700000,1:45,17500000,2024,"Crime,Horror,Mystery"
104,The Dad Quest,24200000,1:24,17300000,2025,"Comedy,Drama"
105,Wallace & Gromit: Vengeance Most Fowl,23700000,1:22,17300000,2024,"Adventure,Animation,Comedy"
108,Transformers: Rise of the Beasts,36400000,2:07,17200000,2023,"Action,Adventure,Sci-Fi"
109,Unexplainable,32900000,1:55,17200000,2024,"Biography,Drama"
106,Rise of the Guardians,28700000,1:40,17200000,2012,"Action,Adventure,Animation"
107,To All the Boys I've Loved Before,28700000,1:40,17200000,2018,"Comedy,Drama,Romance"
111,Pushpa: The Rule - Part 2,63700000,3:44,17100000,2024,"Action,Crime,Drama"
110,Cloudy with a Chance of Meatballs 2,27000000,1:35,17100000,2013,"Adventure,Animation,Comedy"
112,Lift,30300000,1:47,17000000,2024,"Action,Comedy,Crime"
113,The Love Scam,28600000,1:41,17000000,2025,"Comedy,Romance"
114,The Wild Robot,28800000,1:42,16900000,2024,"Adventure,Animation,Family"
115,Home,26200000,1:34,16700000,2015,"Adventure,Animation,Comedy"
116,Trainwreck: The Astroworld Tragedy,22500000,1:21,16700000,2025,Documentary
117,Instant Family,33000000,1:59,16600000,2018,"Comedy,Drama"
118,Lucy,24500000,1:29,16500000,2014,"Action,Sci-Fi,Thriller"
119,Smurfs: The Lost Village,24600000,1:30,16400000,2017,"Adventure,Animation,Comedy"
120,The Sentinel,29300000,1:48,16300000,2006,"Action,Crime,Thriller"
122,The Sea Beast,32200000,1:59,16200000,2022,"Action,Adventure,Animation"
121,Don't Move,24800000,1:32,16200000,2024,"Horror,Thriller"
123,Jumanji: The Next Level,33100000,2:03,16100000,2019,"Action,Adventure,Comedy"
125,To Catch a Killer,31900000,1:59,16100000,2023,"Action,Crime,Drama"
124,One of Them Days,26100000,1:37,16100000,2025,Comedy
126,The Gray Man,34400000,2:09,16000000,2022,"Action,Mystery,Thriller"
127,Land of Bad,30300000,1:54,15900000,2024,"Action,Thriller"
128,Woody Woodpecker,24000000,1:31,15800000,2017,"Adventure,Animation,Comedy"
129,Meet the Khumalos,24400000,1:33,15700000,2025,"Comedy,Drama"
130,Minions & More 1,12800000,0:49,15700000,2022,"Adventure,Animation,Comedy"
131,Love Forever,24900000,1:36,15600000,2025,"Comedy,Romance"
134,The Equalizer,34000000,2:12,15500000,2014,"Action,Crime,Thriller"
133,Knight and Day,28100000,1:49,15500000,2010,"Action,Adventure,Comedy"
132,A Copenhagen Love Story,27200000,1:45,15500000,2025,"Drama,Romance"
136,Wish Dragon,26500000,1:43,15400000,2021,"Adventure,Animation,Comedy"
135,Minions & More 2,13600000,0:53,15400000,2022,"Adventure,Animation,Comedy"
140,The Mitchells vs. the Machines,28700000,1:54,15100000,2021,"Adventure,Animation,Comedy"
138,Eye for an Eye,25700000,1:42,15100000,1996,"Crime,Drama,Thriller"
139,The Garfield Movie,25500000,1:41,15100000,2024,"Adventure,Animation,Comedy"
137,Con Mum,22400000,1:29,15100000,2025,"Crime,Documentary"
141,Spider-Man: No Way Home,36900000,2:28,15000000,2021,"Action,Adventure,Fantasy"
142,Matilda,24300000,1:38,14900000,1996,"Comedy,Family,Fantasy"
143,Ted 2,28600000,1:56,14800000,2015,Comedy
144,Leave the World Behind,34600000,2:22,14600000,2023,"Drama,Mystery,Thriller"
145,The Old Guard,30700000,2:06,14600000,2020,"Action,Thriller"
147,The Children's Train,25700000,1:46,14500000,2024,"Drama,History"
146,No Hard Feelings,25200000,1:44,14500000,2023,"Comedy,Romance"
150,Spenser Confidential,26400000,1:51,14300000,2020,"Action,Comedy,Crime"
148,Geostorm,26000000,1:49,14300000,2017,"Action,Sci-Fi,Thriller"
149,Morbius,24700000,1:44,14300000,2022,"Action,Adventure,Horror"
152,Beverly Hills Cop: Axel F,28000000,1:58,14200000,2024,"Action,Comedy,Crime"
151,A Quiet Place: Day One,23700000,1:40,14200000,2024,"Drama,Horror,Sci-Fi"
153,Extraction II,29200000,2:04,14100000,2023,"Action,Crime,Thriller"
154,Just Go with It,27400000,1:57,14100000,2011,"Comedy,Romance"
155,Peter Rabbit,22400000,1:35,14100000,2018,"Adventure,Animation,Comedy"
156,Sicario,28200000,2:01,14000000,2015,"Action,Crime,Drama"
157,Purple Hearts,29000000,2:05,13900000,2022,"Drama,Music,Romance"
159,Fifty Shades of Grey,28300000,2:05,13600000,2015,"Drama,Romance,Thriller"
158,Aquaman and the Lost Kingdom,28100000,2:04,13600000,2023,"Action,Adventure,Fantasy"
160,Godzilla x Kong: The New Empire,26000000,1:55,13600000,2024,"Action,Adventure,Fantasy"
162,Nadaaniyan,26900000,2:00,13500000,2025,"Drama,Romance"
161,A Family Affair,25600000,1:54,13500000,2024,"Comedy,Drama,Romance"
164,Runaway Jury,28300000,2:08,13300000,2003,"Crime,Drama,Thriller"
166,Ticket to Paradise,23100000,1:44,13300000,2022,"Comedy,Drama,Romance"
165,Rush Hour,21700000,1:38,13300000,1998,"Action,Comedy,Crime"
163,Mother of the Bride,20000000,1:30,13300000,2024,"Comedy,Drama,Romance"
167,The Most Beautiful Girl in the World,27000000,2:03,13200000,2025,"Comedy,Romance"
168,Karol G: Tomorrow was Beautiful,23600000,1:49,13000000,2024,Music
170,Ted,23000000,1:46,13000000,2012,Comedy
169,Spy Kids: Armageddon,21200000,1:38,13000000,2023,"Action,Comedy,Family"
171,The Angry Birds Movie 2,21000000,1:37,13000000,2019,"Action,Adventure,Animation"
172,Spider-Man: Into the Spider-Verse,25000000,1:57,12800000,2018,"Action,Adventure,Animation"
174,Deva,32700000,2:35,12700000,2025,"Action,Crime,Drama"
173,365 Days,24400000,1:55,12700000,2020,"Drama,Romance"
177,Trial by Fire,26700000,2:07,12600000,2018,"Biography,Drama"
176,The Twilight Saga: Breaking Dawn - Part 2,24200000,1:55,12600000,2012,"Adventure,Drama,Fantasy"
175,Oklahoma City Bombing: American Terror,17800000,1:25,12600000,2025,"Crime,Documentary"
178,Interstellar,34900000,2:49,12400000,2014,"Adventure,Drama,Sci-Fi"
180,The Twilight Saga: New Moon,26900000,2:11,12300000,2009,"Adventure,Drama,Fantasy"
179,Sniper: Assassin's End,19500000,1:35,12300000,2020,"Action,Thriller"
184,The Mother,23700000,1:57,12200000,2023,"Action,Thriller"
182,Now You See Me,23300000,1:55,12200000,2013,"Crime,Mystery,Thriller"
181,Mowgli: Legend of the Jungle,21400000,1:45,12200000,2018,"Adventure,Drama,Fantasy"
183,Our Little Secret,20500000,1:41,12200000,2024,"Comedy,Romance"
185,IF,21000000,1:44,12100000,2024,"Animation,Comedy,Drama"
188,The Diplomat,26700000,2:13,12000000,2025,"Drama,Thriller"
189,The Intern,24500000,2:02,12000000,2015,"Comedy,Drama"
187,Kung Fu Panda,18800000,1:34,12000000,2008,"Action,Adventure,Animation"
6,The Lorax,17200000,1:26,12000000,2012,"Adventure,Animation,Comedy"
190,Furiosa: A Mad Max Saga,29400000,2:28,11900000,2024,"Action,Adventure,Sci-Fi"
7,Penguins of Madagascar,18200000,1:32,11900000,2014,"Action,Adventure,Animation"
192,Our Times,18000000,1:31,11900000,2025,"Drama,Sci-Fi"
194,Under the Boardwalk,17200000,1:27,11900000,2023,"Adventure,Animation,Comedy"
191,Madagascar,17100000,1:26,11900000,2005,"Adventure,Animation,Comedy"
197,The Passion of the Christ,23500000,2:01,11700000,2004,Drama
196,Promised Hearts,22300000,1:54,11700000,2025,"Drama,Romance"
195,Incoming,17800000,1:31,11700000,2024,Comedy
201,The Menu,20600000,1:47,11600000,2022,"Comedy,Horror,Thriller"
200,M3GAN,19700000,1:42,11600000,2022,"Horror,Sci-Fi,Thriller"
199,Family Pack,18400000,1:35,11600000,2024,"Adventure,Comedy,Fantasy"
198,Disaster Holiday,18000000,1:33,11600000,2024,"Comedy,Family"
202,Atlas,22900000,2:00,11500000,2024,"Action,Adventure,Drama"
203,Pixels,20300000,1:46,11500000,2015,"Action,Adventure,Comedy"
204,Barbie,21600000,1:54,11400000,2023,"Adventure,Comedy,Fantasy"
205,Fifty Shades Freed,20000000,1:45,11400000,2018,"Drama,Mystery,Romance"
207,That Christmas,18200000,1:36,11400000,2024,"Adventure,Animation,Comedy"
206,Liar Liar,16600000,1:27,11400000,1997,"Comedy,Fantasy"
208,Pride & Prejudice,24000000,2:07,11300000,2005,"Drama,Romance"
209,It Takes Two,18800000,1:41,11200000,1995,"Comedy,Family,Romance"
210,Masha and the Bear: The Legend of the 12 Months,4300000,0:23,11200000,2022,"Animation,Short"
211,Anyone But You,19200000,1:44,11100000,2023,"Comedy,Romance"
212,Murder Mystery,18200000,1:38,11100000,2019,"Crime,Mystery,Romance"
213,Trouble,18100000,1:38,11100000,2024,"Action,Comedy,Crime"
214,Yes Day,16600000,1:30,11100000,2021,"Comedy,Family"
216,Horizon: An American Saga - Chapter 1,33200000,3:01,11000000,2024,"Drama,Western"
215,Blacklight,19200000,1:45,11000000,2022,"Action,Drama,Thriller"
220,To All the Boys: P.S. I Still Love You,18500000,1:42,10900000,2020,"Comedy,Drama,Romance"
221,Uglies,18500000,1:42,10900000,2024,"Action,Adventure,Drama"
217,Avicii - I'm Tim,17700000,1:37,10900000,2024,"Biography,Documentary,Music"
219,Kung Fu Panda 4,17100000,1:34,10900000,2024,"Action,Adventure,Animation"
218,Barnyard,16400000,1:30,10900000,2006,"Adventure,Animation,Comedy"
222,The Sand Castle,17400000,1:37,10800000,2024,"Drama,Fantasy,Mystery"
8,The Fall of Favre,11500000,1:04,10800000,2025,"Biography,Crime,Documentary"
224,The Twilight Saga: Eclipse,22200000,2:04,10700000,2010,"Action,Adventure,Drama"
225,Time Cut,16400000,1:32,10700000,2024,"Horror,Mystery,Sci-Fi"
228,Dune: Part Two,29200000,2:46,10600000,2024,"Action,Adventure,Drama"
226,A Simple Favor,20600000,1:57,10600000,2018,"Comedy,Crime,Mystery"
229,Feel the Beat,19400000,1:50,10600000,2020,"Comedy,Drama,Family"
227,Bloodshot,19300000,1:49,10600000,2020,"Action,Adventure,Sci-Fi"
230,Ruby Gillman: Teenage Kraken,16100000,1:31,10600000,2023,"Animation,Comedy,Romance"
231,Chicken Run: Dawn of the Nugget,17800000,1:42,10500000,2023,"Adventure,Animation,Comedy"
232,Jaat,25900000,2:30,10400000,2025,"Action,Crime,Drama"
233,Midnight in the Switchgrass,17100000,1:39,10400000,2021,"Crime,Mystery,Thriller"
238,HIT: The 3rd Case,26500000,2:35,10300000,2025,"Action,Crime,Thriller"
241,The Two Popes,21600000,2:06,10300000,2019,"Biography,Comedy,Drama"
234,Angel Has Fallen,20800000,2:01,10300000,2019,"Action,Thriller"
237,Fifty Shades Darker,20300000,1:58,10300000,2017,"Drama,Mystery,Romance"
239,Infinite Storm,16800000,1:38,10300000,2022,"Drama,Thriller"
242,Thelma the Unicorn,16800000,1:38,10300000,2024,"Adventure,Animation,Comedy"
235,Chaos: The Manson Murders,16700000,1:37,10300000,2025,"Crime,Documentary"
236,Chasing the Wind,16400000,1:36,10300000,2025,"Drama,Romance"
240,Pinkfong and Baby Shark's Space Adventure,11200000,1:05,10300000,2019,"Adventure,Animation,Family"
246,Triple Frontier,21400000,2:06,10200000,2019,"Action,Adventure,Thriller"
243,Blended,19800000,1:57,10200000,2014,"Comedy,Romance"
245,The Twilight Saga: Breaking Dawn - Part 1,19800000,1:57,10200000,2011,"Adventure,Drama,Fantasy"
244,Death Before the Wedding,18200000,1:47,10200000,2025,Comedy
250,Transformers: The Last Knight,26200000,2:36,10100000,2017,"Action,Adventure,Comedy"
249,The Core,22800000,2:15,10100000,2003,"Action,Adventure,Sci-Fi"
248,The Adam Project,18100000,1:47,10100000,2022,"Action,Adventure,Comedy"
247,Sniper: Rogue Mission,16100000,1:36,10100000,2022,"Action,Thriller"
253,Scream VI,20500000,2:03,10000000,2023,"Horror,Mystery,Thriller"
254,The Kissing Booth,17600000,1:46,10000000,2018,"Comedy,Romance"
252,Me Time,17300000,1:44,10000000,2022,Comedy
251,28 Weeks Later,16600000,1:40,10000000,2007,"Horror,Sci-Fi"
257,Court - State Vs. A Nobody,24600000,2:29,9900000,2025,Drama
256,Bad Boys for Life,20400000,2:04,9900000,2020,"Action,Comedy,Crime"
258,Extraction,19400000,1:58,9900000,2020,"Action,Crime,Thriller"
255,A Dog's Way Home,15900000,1:36,9900000,2019,"Adventure,Drama,Family"
259,Sniper: Ultimate Kill,15300000,1:33,9900000,2017,"Action,Drama,Thriller"
260,Spirit: Stallion of the Cimarron,13800000,1:24,9900000,2002,"Adventure,Animation,Drama"
262,Officer Black Belt,17800000,1:49,9800000,2024,"Action,Comedy,Crime"
261,Lonely Planet,15600000,1:36,9800000,2024,"Drama,Romance"
263,American Sniper,21400000,2:13,9700000,2014,"Action,Biography,Drama"
266,The Wages of Fear,17100000,1:46,9700000,2024,"Action,Adventure,Drama"
268,Vivo,16100000,1:40,9700000,2021,"Adventure,Animation,Comedy"
264,Faster,15900000,1:38,9700000,2010,"Action,Crime,Drama"
265,Kung Fu Panda 3,15400000,1:35,9700000,2016,"Action,Adventure,Animation"
267,Trainwreck: Mayor of Mayhem,8100000,0:50,9700000,2025,Documentary
276,The Shadow Strays,23200000,2:25,9600000,2024,"Action,Crime,Thriller"
272,Sikandar,21500000,2:14,9600000,2025,"Action,Drama,Thriller"
270,Copycat,19600000,2:03,9600000,1995,"Drama,Mystery,Thriller"
275,The Punisher,19600000,2:03,9600000,2004,"Action,Crime,Drama"
274,The Last Witch Hunter,17200000,1:47,9600000,2015,"Action,Adventure,Fantasy"
273,Sisu,14600000,1:31,9600000,2022,"Action,Drama,Thriller"
271,Murder Mystery 2,14500000,1:31,9600000,2023,"Action,Adventure,Comedy"
269,Alvin and the Chipmunks: Chipwrecked,13900000,1:27,9600000,2011,"Adventure,Animation,Comedy"
279,Chhaava,24900000,2:38,9500000,2025,"Action,Drama,History"
282,White House Down,20800000,2:12,9500000,2013,"Action,Drama,Thriller"
277,6 Underground,20500000,2:09,9500000,2019,"Action,Thriller"
281,Jurassic World,19700000,2:04,9500000,2015,"Action,Adventure,Sci-Fi"
280,Jumanji: Welcome to the Jungle,18900000,1:59,9500000,2017,"Action,Adventure,Comedy"
278,Beetlejuice Beetlejuice,16700000,1:45,9500000,2024,"Comedy,Fantasy,Horror"
284,The Fate of the Furious,21400000,2:16,9400000,2017,"Action,Crime,Thriller"
9,Mary,17600000,1:52,9400000,2024,Drama
285,Rush Hour 2,14000000,1:30,9300000,2001,"Action,Comedy,Crime"
288,Officer on Duty,20600000,2:14,9200000,2025,"Action,Crime,Thriller"
286,Day Shift,17400000,1:53,9200000,2022,"Action,Comedy,Fantasy"
287,Friday,13900000,1:31,9200000,1995,"Comedy,Drama"
293,Meet Joe Black,27200000,3:00,9100000,1998,"Drama,Fantasy,Romance"
289,13 Hours: The Secret Soldiers of Benghazi,21800000,2:24,9100000,2016,"Action,Drama,History"
295,Shooter,19000000,2:05,9100000,2007,"Action,Drama,Thriller"
296,The Sum of All Fears,18800000,2:04,9100000,2002,"Action,Drama,Thriller"
294,Meg 2: The Trench,17600000,1:56,9100000,2023,"Action,Adventure,Horror"
290,Death Whisperer 2,17000000,1:52,9100000,2024,"Action,Horror,Thriller"
291,John Wick,15300000,1:41,9100000,2014,"Action,Crime,Thriller"
292,Little Man,14800000,1:38,9100000,2006,"Comedy,Crime"
297,50 First Dates,14800000,1:39,9000000,2004,"Comedy,Drama,Romance"
300,The SpongeBob Movie: Sponge on the Run,14300000,1:35,9000000,2020,"Adventure,Animation,Comedy"
299,Just Like Heaven,14200000,1:35,9000000,2005,"Comedy,Drama,Fantasy"
298,Blippi's Big Dino Adventure,10100000,1:07,9000000,2023,Family
301,"Crazy, Stupid, Love.",17500000,1:58,8900000,2011,"Comedy,Drama,Romance"
302,Daaku Maharaaj,20900000,2:23,8800000,2025,"Action,Adventure,Crime"
305,The Shack,19500000,2:13,8800000,2017,"Drama,Fantasy"
303,How to Make Millions Before Grandma Dies,18700000,2:07,8800000,2024,"Comedy,Drama,Family"
304,Rush Hour 3,13300000,1:31,8800000,2007,"Action,Comedy,Crime"
307,Dragon,22300000,2:34,8700000,2025,"Comedy,Drama,Romance"
306,Tyler Perry's A Madea Homecoming,15500000,1:47,8700000,2022,"Comedy,Drama,Romance"
308,Lost Bullet,13600000,1:34,8700000,2020,"Action,Crime,Thriller"
313,Spider-Man: No Way Home,22400000,2:37,8600000,2021,"Action,Adventure,Fantasy"
314,The School for Good and Evil,21300000,2:29,8600000,2022,"Action,Comedy,Drama"
310,Inside Man,18400000,2:09,8600000,2006,"Crime,Drama,Mystery"
315,The Tearsmith,15100000,1:45,8600000,2024,"Drama,Fantasy,Romance"
10,"Miraculous: Ladybug & Cat Noir, the Movie",14600000,1:42,8600000,2023,"Action,Adventure,Animation"
311,Lost Bullet 2: Back for More,14300000,1:40,8600000,2022,"Action,Crime,Thriller"
309,Captain Underpants: The First Epic Movie,12700000,1:29,8600000,2017,"Action,Adventure,Animation"
321,Spider-Man: Across the Spider-Verse,19800000,2:20,8500000,2023,"Action,Adventure,Animation"
317,In the Heart of the Sea,17300000,2:02,8500000,2015,"Action,Adventure,Biography"
316,Colombiana,15800000,1:52,8500000,2011,"Action,Crime,Drama"
318,Non-Stop,15200000,1:47,8500000,2014,"Action,Mystery,Thriller"
320,Paddington in Peru,15000000,1:46,8500000,2024,"Adventure,Comedy,Family"
319,Over the Moon,14300000,1:41,8500000,2020,"Adventure,Animation,Comedy"
327,The Lovely Bones,19100000,2:16,8400000,2009,"Drama,Fantasy,Thriller"
324,Now You See Me 2,18000000,2:09,8400000,2016,"Action,Adventure,Comedy"
328,Us,16300000,1:57,8400000,2019,"Horror,Mystery,Thriller"
323,Let Go,15400000,1:50,8400000,2024,Drama
322,Black and Blue,15100000,1:48,8400000,2019,"Action,Thriller"
325,Paul,14600000,1:44,8400000,2011,"Adventure,Comedy,Sci-Fi"
326,Sniper: Ghost Shooter,13800000,1:39,8400000,2016,"Action,Drama,Thriller"
11,Matilda: The Musical,16800000,2:02,8300000,2022,"Comedy,Drama,Family"
331,The Deliverance,15700000,1:53,8300000,2024,"Drama,Horror,Mystery"
329,Heart of the Hunter,14800000,1:47,8300000,2024,"Action,Thriller"
332,The Watchers,14100000,1:42,8300000,2024,"Fantasy,Horror,Mystery"
333,The Witcher: Sirens of the Deep,12700000,1:32,8300000,2025,"Action,Adventure,Animation"
337,Gods of Egypt,17400000,2:07,8200000,2016,"Action,Adventure,Drama"
338,The Wolf and the Lion,13700000,1:40,8200000,2021,"Adventure,Drama,Family"
334,Are We Done Yet?,12500000,1:32,8200000,2007,"Comedy,Family"
336,Don't Die: The Man Who Wants to Live Forever,12300000,1:30,8200000,2025,Documentary
335,Barbie: Dolphin Magic,8700000,1:04,8200000,2017,"Adventure,Animation,Family"
340,Bhool Bhulaiyaa 3,21200000,2:38,8100000,2024,"Comedy,Fantasy,Horror"
341,Gladiator,20800000,2:35,8100000,2000,"Action,Adventure,Drama"
343,The Karate Kid,18800000,2:20,8100000,2010,"Action,Drama,Family"
342,The Forge,16700000,2:03,8100000,2024,"Drama,Family"
339,Anuja,3100000,0:23,8100000,2024,"Drama,Short"
344,Harry Potter and the Sorcerer's Stone,20300000,2:32,8000000,2001,"Adventure,Family,Fantasy"
346,To All the Boys: Always and Forever,15400000,1:56,8000000,2021,"Comedy,Drama,Romance"
12,Vanished Into the Night,12400000,1:33,8000000,2024,"Drama,Thriller"
